{0:,0.001},,,,,,,,,,,,,,,,,,,
{2859:,('2015-01-01',,'2015-12-01')},,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,100,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,280,7.35,2.06,2.11,,,,,,,1.1,1.14,,,,,,,2.09,1.12
10,-233,0.46,0.43,0.92,,,,,,,0.22,0.5,,,,,,,0.68,0.36
20,-280,0.91,0.3,0.72,,,,,,,0.17,0.4,,,,,,,0.51,0.29
30,-368,1.51,0.28,0.58,,,,,,,0.14,0.34,,,,,,,0.43,0.24
40,-181,39.92,0.41,0.78,,,,,,,0.21,0.57,,,,,,,0.6,0.39
50,-350,0.31,0.29,0.56,,,,,,,0.15,0.35,,,,,,,0.43,0.25
60,-315,4.63,0.55,0.6,,,,,,,0.23,0.36,,,,,,,0.58,0.3
70,-439,0.19,0.28,0.52,,,,,,,0.13,0.32,,,,,,,0.4,0.23
80,-469,0.21,0.28,0.47,,,,,,,0.13,0.29,,,,,,,0.38,0.21
90,-442,0.21,0.49,0.54,,,,,,,0.21,0.32,,,,,,,0.52,0.27
100,-463,0.18,0.34,0.48,,,,,,,0.15,0.3,,,,,,,0.41,0.23
