epoch,log,kl,nll_upper_bound,mse,mae
1,228.083944926,
2,92.8111517781,
3,-57.0664648749,
4,-100.096613351,
5,-178.559876914,
6,-211.462477554,
7,-181.432983285,
8,-159.002065036,
9,-211.219957547,
10,-217.611942453,
11,-238.896159606,
12,-252.354530032,
13,-249.242103342,
14,-255.448414805,
15,-285.461291592,
16,-272.224867213,
17,-273.964121616,
18,-294.055404697,
19,-311.916522714,
20,-296.984323381,
21,-315.877648291,
22,-318.17143204,
23,-317.879790866,
24,-330.304597376,
25,-349.652391895,
26,-346.741473246,
27,-355.996969962,
28,-360.648343651,
29,-336.473594735,
30,-344.967721959,
31,-374.514966563,
32,-278.835354773,
33,-127.320650668,
34,-259.069142265,
35,-314.919155737,
36,-351.32188891,
37,-249.296310423,
38,-286.15599955,
39,-264.671707747,
40,-85.1806392817,
41,-176.674529862,
42,-207.484864628,
43,-212.241611241,
44,-201.358078697,
45,-236.522958419,
46,-250.250579737,
47,-280.670842619,
48,-289.723781179,
49,-307.457012537,
50,-328.546742838,
51,-352.206157947,
52,-381.834311132,
53,-269.37820254,
54,-312.511834818,
55,-336.019253467,
56,-313.243512151,
57,-313.64297496,
58,-111.432698218,
59,-231.472639747,
60,-270.040580502,
61,-369.870749279,
62,-223.90247036,
63,-325.8451049,
64,-386.16762889,
65,-406.198825635,
66,-419.266160121,
67,-426.027910953,
68,-429.696534784,
69,-433.338548752,
70,-438.89553894,
71,-443.861179144,
72,-446.790320032,
73,-452.241500408,
74,-425.793197979,
75,-445.43997539,
76,-449.80912198,
77,-455.77872817,
78,-460.246589318,
79,-463.225519208,
80,-459.304108855,
81,-464.631829332,
82,-471.118844363,
83,-466.668806066,
84,-476.307552348,
85,-480.650419047,
86,-482.574114248,
87,-449.764767741,
88,-310.638031279,
89,-397.541649459,
90,-426.739716046,
91,-440.732613939,
92,-448.070233831,
93,-454.918095079,
94,-435.502509385,
95,-430.549373987,
96,-401.093276419,
97,-399.713969949,
98,-413.161520991,
99,-436.649424092,
100,-452.311207277,
