2015-02-02,01:07:00,0
2015-02-02,01:08:00,0
2015-02-02,01:09:00,0
2015-02-02,01:10:00,0.007
2015-02-02,01:11:00,0.287
2015-02-02,01:12:00,1.03
2015-02-02,01:13:00,1.028
2015-02-02,01:14:00,1.027
2015-02-02,01:15:00,1.027
2015-02-02,01:16:00,1.017
2015-02-02,01:17:00,0.199
2015-02-02,01:18:00,0.048
2015-02-02,01:19:00,0.08
,,
6990,,
2015-01-04,18:10:00,0
2015-01-04,18:11:00,0
2015-01-04,18:12:00,0
2015-01-04,18:13:00,0
2015-01-04,18:14:00,0
2015-01-04,18:15:00,0
2015-01-04,18:16:00,0
2015-01-04,18:17:00,0.003
2015-01-04,18:18:00,0.008
2015-01-04,18:19:00,0.032
2015-01-04,18:20:00,0.255
2015-01-04,18:21:00,0.249
2015-01-04,18:22:00,0.137
2015-01-04,18:23:00,0.259
2015-01-04,18:24:00,0.255
2015-01-04,18:25:00,0.13
2015-01-04,18:26:00,0.25
2015-01-04,18:27:00,0.148
2015-01-04,18:28:00,0.131
2015-01-04,18:29:00,0.018
,,
8292,,
2015-01-11,09:50:00,0
2015-01-11,09:51:00,0
2015-01-11,09:52:00,0
2015-01-11,09:53:00,0.012
2015-01-11,09:54:00,0
2015-01-11,09:55:00,0
2015-01-11,09:56:00,0
2015-01-11,09:57:00,0
2015-01-11,09:58:00,0
2015-01-11,09:59:00,0
,,
2015-01-11,10:30:00,0.583
2015-01-11,10:31:00,0.925
2015-01-11,10:32:00,0.924
2015-01-11,10:33:00,0.922
2015-01-11,10:34:00,0.413
2015-01-11,10:35:00,0.562
2015-01-11,10:36:00,0.921
2015-01-11,10:37:00,0.918
2015-01-11,10:38:00,0.917
2015-01-11,10:39:00,0.429
2015-01-11,10:40:00,0.537
2015-01-11,10:41:00,0.915
,,
3413,,
2015-01-03,03:10:00,0
2015-01-03,03:11:00,0
2015-01-03,03:12:00,0
2015-01-03,03:13:00,0
2015-01-03,03:14:00,0
2015-01-03,03:15:00,0
2015-01-03,03:16:00,0
2015-01-03,03:17:00,0
2015-01-03,03:18:00,0
2015-01-03,03:19:00,0
2015-01-03,03:20:00,0
2015-01-03,03:21:00,0
2015-01-03,03:22:00,0.004
2015-01-03,03:23:00,0.113
2015-01-03,03:24:00,0.146
2015-01-03,03:25:00,0.147
2015-01-03,03:26:00,0.083
2015-01-03,03:27:00,0.012
2015-01-03,03:28:00,0.124
2015-01-03,03:29:00,0.148
